Genus,HS01_ave,HS03_ave,HS05_ave,HS09_ave,HS13_ave,HS15_ave,HS17_ave,HS19_ave,JW01,JW02,JW03,JW04,JW05,JW06,JW07,JW08,JW09,JW10,JW11,JW12,JW13,JW14,JW15,JW16,JW17,JW18,JW19,JW20,LZ01,LZ02_ave,LZ03,LZ04_ave,LZ05,LZ06_ave,LZ10,LZ11_ave,LZ13,LZ14_ave,LZ16,LZ17_ave,QZ01,QZ02,QZ03,QZ04,QZ05,QZ06,QZ07,QZ08,QZ09,YZ01,YZ02,YZ03,YZ04_ave,YZ05,YZ06_ave,YZ09,YZ10,YZ11,YZ12,YZ13,YZ14,YZ15,YZ16,YZ17,YZ18,YZ19,YZ20,YZ21,YZ22_ave,YZ24,YZ25,YZ26,YZ27,YZ28,YZ29_ave,YZ32_ave,YZ33_ave,MG01,MG02,MG03,MG04,MG05,MG06,MG07,MG08,MG09,MG10,MG11,MG12,MG13,MG14,MG15,AM01,AM02,AM03,AM04,AM05,AM06,AM07,AM08,AM09
Methanimicrococcus,0,0,0.005131927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacterium,6.558981889,2.920026149,5.084273576,8.478041982,4.559988878,13.0334728,4.99507874,3.066302777,3.778677463,2.986425339,6.956521739,0,0,3.06122449,0,4.566210046,0,1.470588235,8.833922261,0,10.30927835,0,0,15.96139569,5.723905724,8.518518519,0,0,1.025641026,0.010309455,0.574345884,0.482005141,3.858120722,0.473828853,1.474530831,0.587647238,2.707808564,2.264304438,3.168362627,1.451308007,0,4.00689358,0,4.287570377,6.654456654,0,0.063131313,0.408805031,0.716589036,7.478632479,10.51149695,9.051186017,31.82829015,28.41677943,33.23548229,4.536689333,4.694589878,5.368226808,5.72640509,6.910090302,9.298826362,10.00529381,10.47741567,10.20957965,10.55813953,22.20377836,24.02310567,33.21536906,40.42498851,17.65578635,29.86463621,15.12295082,16.53005464,28.21403753,33.90329835,10.13266304,23.52366186,1.788451712,1.944444444,3.064640742,0.650520416,0.142987131,0.117347937,0,2.855297158,2.358219257,1.760902463,1.130288682,1.270542743,0.674117438,0.75031263,1.681317743,12.07692575,15.15917475,14.97569488,11.09507898,22.19174019,21.24038874,25.7912107,65.26425782,67.43873332
Methanobrevibacter,0.685266765,0,0.730933058,1.137014949,0,0.662482566,0,0,1.619433198,0.7239819,2.028985507,0,1.515151515,3.06122449,8.479532164,5.936073059,17.82178218,13.97058824,2.120141343,9.064327485,1.374570447,0,1.973684211,0,0,10.74074074,11.38888889,10.68376068,1.617357002,1.472533892,1.85067007,9.198264781,3.795892968,0.462456961,2.010723861,0.399878298,0.146935348,0.065081804,0.323774283,0.146350387,0,0,0,0,0,0,0,0,0,0.854700855,0.938526513,0.811485643,1.136903126,1.00135318,2.352188476,0.598802395,0.122164049,0.788458312,0.153175445,0.265017668,0.180559735,0.370566437,1.048218029,1.045917357,0.904392765,1.533475615,1.257220523,1.567239636,1.562037084,0,0,0.696721311,0,0.20847811,0,6.468370339,7.482809761,0,0,0.206026268,2.572057646,0.987911088,2.014472912,1.295610788,0.994832041,2.358219257,0.660338423,0.091645028,0.814804585,1.463544439,0.383493122,0.31578049,0,0,0.517262869,0,0.1408764,0.491784083,0.059058537,0.052246604,0.201701012
Methanocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253807107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanocorpusculum,0.195790504,14.09893223,0,0,4.990963437,0.69735007,26.59940945,8.893883448,0,0,0,0,3.282828283,0,0,0,0,2.941176471,8.127208481,0.584795322,1.718213058,0,34.21052632,3.637713437,0.336700337,0,3.055555556,9.829059829,0.473372781,8.130723896,2.552648373,1.506266067,0.373366521,24.65426288,2.479892761,16.71839006,1.868178002,5.74527705,5.041628122,26.678456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041398517,0.050745966,0.034904014,0,0,0.039261877,0.060186578,0.105876125,0.095292548,0.059427123,0.046511628,0,0,0.101112235,0.013280891,4.005934718,1.945854484,10.53278689,0,6.323835997,0.133959932,0.550202486,0.404476203,0,0,0,0,0,0,0,0,0,0,0,1.463886204,0.186269292,0.08336807,0,0,0,0,0,0,0,0,0,0
Methanoculleus,3.622124327,6.886031815,0,0,0,0,0.762795276,0.112377589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,10.61143984,5.338579701,8.998085514,12.12644602,10.95208463,1.33430205,18.230563,3.116442822,6.066330814,4.445448793,11.23959297,8.43466065,0,27.27272727,0,19.7921178,20.48229548,0,0,30.6918239,31.6015765,0.320512821,0.469263257,0.312109863,0,0.135317997,0,0.253729828,0,0.100654253,0.27100271,0.35335689,0.300932892,0,0.090527921,0.067350739,0,0.18180381,0.294484087,0,0,0,0.846023689,3.278688525,1.639344262,1.111883252,1.646726967,2.077922078,0,0,0,0,10.36829464,3.74366307,5.9260708,5.327868852,1.563307494,0.391119291,1.320676847,0,34.56704875,18.52935959,34.81450604,50.49927456,0.027771028,0.812952589,0.436245793,0,2.039000519,0,0.138961265,0.596711214,0.073957038
Methanofollis,0,0,0,0,0.083414431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanogenium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157790927,0.247426932,1.403956605,0.028116967,0.622277536,1.228164387,0.201072386,1.097057417,0.230898405,1.375757028,0,0.102445271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.66735994,59.87678467,50.5817028,0,0,0,0,3.935920453,2.927088877,0.658607753,0.11948451,0,0,0,0,0,0,0,0,0
Methanolinea,8.565834557,14.27326215,3.010974994,1.668344822,1.918531906,0,6.779035433,1.059560122,9.041835358,5.158371041,6.811594203,2.317880795,4.04040404,3.571428571,5.847953216,4.566210046,0,0,2.473498233,4.093567251,2.749140893,2.824858757,0,0.593912398,0.561167228,1.481481481,0,0,4.142011834,3.525833777,2.233567326,6.90472365,2.862476665,0.917332659,1.809651475,1.688181858,0.56675063,1.713820844,0.578168363,2.285505214,0,0.215424386,0,0,0,0.237341772,0.27958153,0.503144654,0,26.17521368,37.63491319,31.14856429,11.74383449,18.97158322,12.30665011,30.90429311,28.89179756,22.26136554,39.86096383,30.33961523,26.4520012,22.60455267,16.54278635,13.44637693,18.3255814,29.12022765,20.60255975,16.27906977,13.39531082,5.192878338,4.145516074,2.991803279,3.415300546,2.640722724,3.193800814,2.294372294,5.618848591,52.37608585,27.96296296,48.13288694,39.45156125,17.09346159,16.98611383,17.35854045,51.57622739,41.65420453,42.68812767,71.86497633,8.092804861,11.06084797,8.486869529,7.954254502,7.147568299,6.346495422,6.468901907,8.243469015,9.231111441,11.42422232,11.43651207,4.347467414,7.284768213
Methanomethylovorans,0,0,0,0,0,0,0,0,2.294197031,2.533936652,2.173913043,4.304635762,0,0,2.046783626,0,0,0,2.120141343,1.169590643,0,0,0,0.816629547,1.346801347,0.925925926,0,0,0,0.467361982,0.255264837,0.57438946,0.124455507,0,0,0.039118529,0.335852225,0.010846967,0.277520814,0.093908165,0,0,0,0,0,0,0,0,0,1.495726496,0.703894885,2.059925094,1.359286375,0.48714479,1.223138008,0.223282249,0.279232112,0.805234021,0.412395428,0,0.631959073,1.164637374,0,0,0.062015504,0.395225674,0.645599728,0,0.915359861,0,0,0,0,0,0,2.547130289,0,0,0,0,0.380304243,0,0.078231958,0,0.826873385,0.56367192,1.100564039,1.481594623,0,0,0,0,0.211754088,0.273261375,0,0,0,0,0.399513636,0.04399714,0
Methanoregula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104874119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564102564,1.07930549,0.873907615,0.719622198,0.324763194,0.090324037,0,0,0,0,0.107970161,0,2.593965061,0.028587764,0,0,0.110663189,0.067957866,0,0.361648874,0,1.607445008,1.43442623,0.204918033,0.764419736,0.261385233,0.875576037,1.105568289,8.329075115,5.046296296,0,0,0,0,0,0,0,0,3.467236902,0,0,0,0,0,0.478207406,0,0.318955043,0,0,0.799027271,0,0
Methanosarcina,0,0,3.850411653,4.219657657,2.015848742,2.322175732,0,0,0,1.809954751,0,0,0,4.591836735,5.263157895,3.196347032,0,0,0,0,4.467353952,4.519774011,4.605263158,1.484780995,11.22334456,5.185185185,11.11111111,5.128205128,0.078895464,0.00687297,0,0,0,0.030325047,0,0.010431608,0,0.009943053,0,0.07805354,10.67235859,55.23481258,15.81151832,45.56084885,49.32844933,81.02254747,81.80916306,59.68553459,58.90361877,0,0,0,0,0,0.037635016,0,0,0.167757088,0,0,0,0,0.076234038,0,0,0,0,0,0,2.522255193,3.214890017,0,11.06557377,2.015288395,0.741680598,2.681189778,0,0,0,0,0.230184147,0,0.312927831,0.118984664,0.749354005,1.506959623,1.12807814,0,0,0,0,0,0.763703267,1.263833857,2.91038265,0.189854192,1.038036628,1.030404746,0.653117943,0,0
Methanosphaera,34.65491924,14.44759207,10.08716945,15.17155914,1.570971778,0.153417015,5.63484252,3.74056831,9.71659919,8.235294118,9.710144928,17.21854305,13.63636364,12.24489796,7.894736842,16.43835616,3.96039604,16.17647059,4.946996466,7.894736842,3.780068729,7.344632768,5.921052632,6.607275427,2.581369248,3.148148148,3.333333333,4.700854701,20.90729783,12.89197409,13.08232291,23.92753856,27.7535781,3.129165745,21.64879357,8.561742078,9.19395466,12.24803399,7.585568918,11.56168059,0,0.344679018,0,8.185361628,4.334554335,0,0,0.251572327,0.358294518,5.982905983,9.479117785,14.04494382,4.764998376,7.036535859,10.1125287,9.489495585,10.05235602,12.44757591,8.047602215,9.265802905,15.91934998,11.59343568,2.291785782,2.119567371,2.418604651,4.331673386,4.700419074,9.70677452,4.956837105,16.02373887,8.9678511,10.45081967,12.36338798,10.7018763,10.99778367,5.92096076,18.21154105,0,0,0,0,0,0.048894974,0,0,0,0.068785252,0.152741714,0.621461124,0.204009225,0.08336807,0.085346078,17.43326275,20.04372182,11.6041381,26.99346901,12.55282865,8.274462354,3.710265764,1.589396689,2.440582244
Methanosphaerula,0,3.421224668,0,0,0.667315446,0.237099024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907968575,0,2.222222222,0,0,0,0,0,0,0.00694949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388888889,0.516189582,0.624219725,2.088903326,2.083897158,0.982273908,0.233431442,0.17452007,0.184532797,0.518439967,0.490773459,0.631959073,0.899947062,0.485991995,0.780476209,0.527131783,1.557189155,2.729640956,2.42669363,1.769423303,1.928783383,2.453468697,1.270491803,1.50273224,2.849200834,1.873260835,0,0.728057166,0,0,1.931496266,0,0,0,0,0.219638243,0.184056137,0,0.320757599,0,0,0,0,8.584718992,5.854624948,4.163031284,0.174665857,0,0.503493228,0.5384749,0.668206566,0.611826403
Methanospirillum,3.964757709,1.481804315,15.49548757,21.35543335,25.44140136,2.154811715,3.44488189,15.25124418,0.809716599,9.954751131,2.463768116,1.324503311,7.070707071,11.2244898,13.15789474,3.652968037,18.81188119,19.85294118,5.300353357,7.30994152,2.405498282,9.039548023,9.210526316,7.869339272,5.723905724,5.925925926,24.72222222,25.64102564,0.433925049,0,0,0.044183805,0,0.025270872,0,0.057373843,0,0.059658321,0,0.320751265,0,0.258509263,0,1.255954959,1.404151404,0,0,0.251572327,0,1.175213675,1.173158142,0.49937578,0,0,0.150540062,0.720592713,0.488656195,0.402617011,0.659832685,0.530035336,0,2.170460561,0.528873642,0.269402956,0.180878553,0.292466999,0.453052441,0.55611729,0.342238341,0,0,2.663934426,0,0,0.344701776,26.16673649,1.951597681,35.36024527,59.81481481,41.79757919,45.4663731,14.87066164,14.20887933,25.19830777,39.76744186,49.70666053,49.67670931,18.63448908,39.0001381,58.04505943,45.16882034,36.65614065,0.15968341,2.882907501,4.96696996,0,4.448728405,2.478435657,0.291818656,0.137491063,0.117658924
Methanothermobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6339381,0,83.40314136,0,0,18.74011076,17.83008658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanothrix,30.98384728,28.82981042,60.55894019,46.55719929,57.23620186,80.73919107,47.25639764,42.55899823,28.20512821,18.09954751,22.89855072,10.92715232,9.343434343,27.55102041,24.26900585,31.50684932,5.940594059,3.676470588,36.74911661,30.99415205,28.17869416,2.259887006,2.631578947,38.53006682,51.9640853,38.33333333,1.111111111,8.547008547,18.73767258,13.13940102,11.6145501,9.752570694,11.88550093,4.005433238,7.037533512,9.590124745,20.38203191,10.67612763,26.57261795,12.64467346,0,4.954760879,0,7.622347337,0,0,0,5.220125786,6.091006808,28.95299145,24.73017363,17.60299625,21.18137978,23.51826793,13.16096496,48.9698569,51.98080279,54.00100654,39.6724402,45.13152729,39.60276858,40.3388036,66.12826377,70.1279664,64.50129199,35.45174295,36.69724771,28.41253792,30.68600909,34.27299703,35.36379019,47.90983607,48.36065574,37.52605976,44.17519345,18.88004469,25.61345558,0.817577925,5.231481481,4.86737059,0,0.298973092,0.117347937,0,0.361757106,0.368112274,0.660338423,2.138383993,4.930258252,5.845307788,6.727803251,2.022702057,39.32724685,25.42013937,37.03103577,34.90659175,28.53859272,41.99289646,48.69897516,24.19842711,17.5345413
