Genus,HS01_ave,HS03_ave,HS05_ave,HS09_ave,HS13_ave,HS15_ave,HS17_ave,HS19_ave,JW01,JW02,JW03,JW04,JW05,JW06,JW07,JW08,JW09,JW10,JW11,JW12,JW13,JW14,JW15,JW16,JW17,JW18,JW19,JW20,LZ01,LZ02_ave,LZ03,LZ04_ave,LZ05,LZ06_ave,LZ10,LZ11_ave,LZ13,LZ14_ave,LZ16,LZ17_ave,QZ01,QZ02,QZ03,QZ04,QZ05,QZ06,QZ07,QZ08,QZ09,YZ01,YZ02,YZ03,YZ04_ave,YZ05,YZ06_ave,YZ09,YZ10,YZ11,YZ12,YZ13,YZ14,YZ15,YZ16,YZ17,YZ18,YZ19,YZ20,YZ21,YZ22_ave,YZ24,YZ25,YZ26,YZ27,YZ28,YZ29_ave,YZ32_ave,YZ33_ave,MG01,MG02,MG03,MG04,MG05,MG06,MG07,MG08,MG09,MG10,MG11,MG12,MG13,MG14,MG15,AM01,AM02,AM03,AM04,AM05,AM06,AM07,AM08,AM09
Oxalobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004846282,0,0,0,0,0,0,0.007445947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalophagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52881E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxobacter,0.03349102,0.020927945,0,0.029786136,0.016501196,0,0.03665092,0,0.005577737,0.002161713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000629994,0,0.071194868,0.057000246,0,0,0,0,0,0.007797613,0,0,0.014212116,0.011168921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023088747,0.017004272,0,0.016747213,0,0,0,0,0,0.009590026,0,0.015056415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024917375,0,0,0.025756367,0,0.022574197,0,0.007783049
Paenactinomyces,0.006279566,0.007847979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000338826,0,0,0.011612304,0,0,0,0,0.007002774,0,0,0,0,0,0,0,0.002724622,0,0.003553029,0.00558446,0,0.003670039,0,0,0,0,0.003138765,0.002834668,0,0.008534244,0.005971219,0.005538018,0.006321845,0,0.002638714,0.002125534,0,0.004186803,0,0.002071225,0,0,0.00275601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005583228,0,0,0,0,0,0
Paenalcaligenes,0.012559133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004441286,0.00558446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0.005755185,0,0,0.009625698,0.149908181,0.00950209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paeniglutamicibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001224485,0,0,0,0.001949403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenimaribius,0.005232972,0.003139192,0,0,0,0,0,0,0.004648114,0.00475577,0.004089812,0,0,0,0,0.002751385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000650827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003698022,0,0,0.00209251,0,0,0,0,0.003322811,0,0,0,0.002125534,0,0,0,0,0,0,0.003674681,0,0,0,0.004216132,0.004613577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paludibacter,0.373110897,0.153820396,0,0.029938885,0,0,0.002714883,0,4.6281276,6.352843518,3.968140362,2.056874107,3.388750768,6.03832699,7.435681027,4.068381085,3.429686355,1.48994616,2.040852403,3.555519625,4.720302292,3.014664105,2.000830847,1.922699352,0.750627251,1.296467985,1.191572999,1.133553348,0.378859633,0.788279322,1.506519035,0.195577661,0.663191577,2.151895274,0.723125525,1.056751739,0.726409067,1.354161398,0.362028593,0.522414957,0,3.551718916,0,0.995629292,0.194940324,0,0,0.991295079,1.054532255,0.549742862,1.71880161,1.63716857,0.653522597,1.373064881,3.548713581,0.609443497,0.417404861,1.524729783,0.517032928,0.229294799,0.26360968,0.939847644,0.454455885,0.252656855,0.295449232,0.924743063,0.476099335,0.73220971,0.492520073,0.589763976,2.066703793,3.886893333,3.590505874,0.808042044,0.535737811,0.712149863,1.65612993,5.98871691,6.328640837,1.019080659,2.279936558,2.266964952,12.80187573,11.71266063,11.45833333,5.046698345,13.58357867,10.68049793,0.684176958,0.5371709,0.828077608,0.50293378,0.109418368,0.222872073,0.384046325,0.586770568,0.435681637,0.759984158,0.16869082,0.284736534,0.497099968
Paludicola,0.007849458,0,0.004829465,0,0,0,0,0,0.018592458,0.025508219,0.027095006,0.01984442,0.019731538,0,0.014224616,0.017425437,0.005639077,0,0.007070948,0.015360362,0.02324,0.015556938,0.011329733,0.008414439,0.017279633,0.017196519,0,0,0.011657219,0.014908356,0,0,0,0.001041324,0.02318639,0.013229872,0.018056057,0.00131302,0.016946019,0.001221018,0,0,0,0,0.004386157,0,0,0,0.007445947,0,0,0.008718649,0,0,0,0,0.012047339,0,0,0,0,0,0,0,0.001417023,0,0,0,0,0,0,0.00275601,0,0.004264074,0,0,0.000144174,0,0,0,0,0.178970917,0.164126612,3.644406994,0,0,0,0,0.429060126,0.40453611,0.240720235,0.279407656,0,0,0,0,0,0,0,0,0
